"","Trajectory","frame","x","y","z"
"1",1,1,48.78,88.07,1
"2",1,2,48.65,87.82,1
"3",1,3,49.08,87.07,1
"4",1,4,48.82,86.17,1
"5",1,5,50.04,85.28,1
"6",2,5,78.27,91.84,1
"7",2,6,78.95,91.13,1
"8",2,7,77.84,90.11,1
"9",2,8,78.37,90.93,1
"10",2,9,78.73,89.9,1
"11",3,7,52.87,81.85,1
"12",3,8,53.05,82.63,1
"13",3,9,51.06,82.11,1
"14",3,10,50.82,81.77,1
"15",3,11,50.85,80.6,1
"16",3,12,52.25,81.27,1
"17",3,13,53,81.71,1
"18",3,14,52.82,81.74,1
"19",3,15,52.23,82.74,1
"20",3,16,52.37,83.06,1
"21",3,17,53.32,84.19,1
"22",3,18,53.84,83.73,1
"23",3,19,52.93,83.3,1
"24",3,20,52.62,84.79,1
"25",3,21,52.79,85.2,1
"26",3,22,52.3,84.93,1
"27",3,23,52.68,85.1,1
"28",3,24,52.73,85.85,1
"29",4,11,77.79,87.99,1
"30",4,12,77.3,87.71,1
"31",4,13,76.79,87.11,1
"32",4,14,77.17,87.71,1
"33",5,16,18.19,53.27,1
"34",5,17,18.02,53.31,1
"35",6,16,77.25,87.18,1
"36",6,17,75.99,87.06,1
"37",7,20,35.88,96.36,1
"38",7,21,35.59,96.75,1
"39",8,21,17.17,53.88,1
"40",8,22,17.12,53.93,1
"41",9,23,64.9,50.28,1
"42",9,24,65.41,52,1
"43",9,25,64.64,52,1
"44",9,26,64.17,51.68,1
"45",9,27,64.84,51.73,1
"46",10,26,6.9,47.26,1
"47",10,27,8.33,48.15,1
"48",11,27,50.76,85.24,1
"49",11,28,50.97,84.85,1
"50",12,30,25.15,59.33,1
"51",12,31,26.15,60.3,1
"52",12,32,25.73,60.04,1
"53",13,30,50.18,83.93,1
"54",13,31,50.93,83.12,1
"55",14,32,15.09,60.65,1
"56",14,33,15.65,60.99,1
"57",15,34,58.84,81.75,1
"58",15,35,58.87,81.59,1
"59",15,36,57.27,82.78,1
"60",15,37,57.24,82,1
"61",15,38,57.84,81.82,1
"62",15,39,58.05,82.16,1
"63",16,35,17,53.36,1
"64",16,36,17.25,52.98,1
"65",16,37,17,53.87,1
"66",16,38,13.75,54.97,1
"67",16,39,15.78,58.16,1
"68",17,35,16.57,60.99,1
"69",17,36,16.68,60.22,1
"70",18,41,16.04,57.66,1
"71",18,42,15.92,58.31,1
"72",18,43,15.84,58.7,1
"73",18,44,14.79,59.18,1
"74",18,45,15.08,58.08,1
"75",18,46,14.99,58.85,1
"76",18,47,15.18,58.78,1
"77",18,48,15.75,58.85,1
"78",18,49,15.63,58.92,1
"79",18,50,15.17,57.92,1
"80",18,51,15.67,58.11,1
